active_indices,spoke_counts,sdp_t,sdp_lambda_min,sdp_log_product,sdp_gap,de_failed,de_lambda_min,de_log_product,de_converged
0 3 4 5 7 8 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00480348,0.00348353,-20.212546,1.320e-03,False,0.00480348,-21.318311,False
0 3 4 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00094085,0.00094085,-20.460612,-3.659e-10,False,0.00094069,-20.367194,False
0 2 4 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00703981,0.00005016,-26.716352,6.990e-03,False,0.00599391,-18.355043,False
0 2 4 5 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00580461,0.00000002,-32.028083,5.805e-03,True,,,False
0 4 5 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00479402,0.00479402,-21.688766,-9.372e-10,False,0.00479379,-21.636113,False
0 2 5 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00437595,0.00015581,-25.949848,4.220e-03,True,,,False
0 3 4 5 6 7 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00000000,0.00000000,-inf,0.000e+00,True,,,False
0 3 5 6 7 8 9 10 11,"O-M:1,O-B:2,O-N:3,O-A:3",0.00137097,0.00137097,-25.119778,-1.094e-09,False,0.00137036,-24.928808,False
1 2 3 4 5 6 7 8 9,"O-M:2,O-B:3,O-N:3,O-A:1",0.00645360,0.00047466,-25.512560,5.979e-03,False,0.00573360,-20.939415,False
1 2 3 4 5 6 7 8 10,"O-M:2,O-B:3,O-N:3,O-A:1",0.00693866,0.00003192,-24.028963,6.907e-03,True,,,False
1 2 3 4 5 6 7 8 11,"O-M:2,O-B:3,O-N:3,O-A:1",0.00741716,0.00070602,-25.055390,6.711e-03,True,,,False
1 2 3 4 5 6 7 9 10,"O-M:2,O-B:3,O-N:2,O-A:2",0.00286649,0.00014957,-23.121944,2.717e-03,True,,,False
1 2 3 4 5 6 7 9 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00295595,0.00004487,-28.485016,2.911e-03,False,0.00289600,-21.519681,False
1 2 3 4 5 6 9 10 11,"O-M:2,O-B:3,O-N:1,O-A:3",0.00438975,0.00032583,-25.180920,4.064e-03,False,0.00438975,-20.078692,False
1 2 3 4 5 6 7 10 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00426086,0.00040840,-21.446398,3.852e-03,True,,,False
1 2 3 4 5 7 9 10 11,"O-M:2,O-B:3,O-N:1,O-A:3",0.00400468,0.00034912,-21.341723,3.656e-03,False,0.00400468,-15.117525,False
1 2 3 4 5 6 8 9 10,"O-M:2,O-B:3,O-N:2,O-A:2",0.00733034,0.00017253,-23.068018,7.158e-03,False,0.00357253,-23.100606,False
1 2 3 4 5 6 8 10 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00664779,0.00005370,-26.208023,6.594e-03,False,0.00161405,-24.866437,False
1 2 3 4 5 7 8 9 10,"O-M:2,O-B:3,O-N:2,O-A:2",0.00856766,0.00856766,-15.906304,-6.743e-10,False,0.00856756,-15.984335,False
1 2 3 4 5 8 9 10 11,"O-M:2,O-B:3,O-N:1,O-A:3",0.00226236,0.00043078,-22.753485,1.832e-03,False,0.00226236,-16.749232,False
1 2 3 4 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00604403,0.00604403,-16.685276,-1.214e-10,False,0.00604402,-16.030161,False
1 2 3 4 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00286649,0.00014917,-23.126953,2.717e-03,False,0.00283651,-17.974197,False
